"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","卷","期","论文编号","起始页码","结束页码","页码计数","施引文献","DOI","链接","文献类型","出版阶段","开放获取","来源出版物","EID"
"Zhu B.; Tian L.; Du Q.; Wu Q.; Shi L.","Zhu, Bin (57202252766); Tian, Lianfang (7202296393); Du, Qiliang (21233408300); Wu, Qiuxia (36976504900); Shi, Lixin (45261351600)","57202252766; 7202296393; 21233408300; 36976504900; 45261351600","An Improved Fractional-Order Optical Flow Model for Motion Estimation","2018","Mathematical Problems in Engineering","2018","","6278719","","","","8","10.1155/2018/6278719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047616041&doi=10.1155%2f2018%2f6278719&partnerID=40&md5=5121d257487b8af631cefbdfa439b3ca","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85047616041"
"Huang H.; Chen W.; Wu Q.; Wang H.; Cai Q.; Guo Y.","Huang, Han (60386531600); Chen, Weiyi (60131208700); Wu, Qiuxia (36976504900); Wang, Huanjun (55388998700); Cai, Qian (60438087600); Guo, Yan (60130820200)","60386531600; 60131208700; 36976504900; 55388998700; 60438087600; 60130820200","T2WI-BCMIC: Non-Fat Saturated T2-Weighted Imaging Dataset for Bladder Cancer Muscle Invasion Classification","2026","Lecture Notes in Computer Science","15972 LNCS","","","573","583","10","0","10.1007/978-3-032-05169-1_55","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018063700&doi=10.1007%2f978-3-032-05169-1_55&partnerID=40&md5=48e40e474b388462c85561b7734b32e5","Conference paper","Final","","Scopus","2-s2.0-105018063700"
"Wu Q.; Xie X.; Xu S.; Kang W.","Wu, Qiuxia (36976504900); Xie, Xinran (60585278000); Xu, Sangni (57445725400); Kang, Wenxiong (30267694900)","36976504900; 60585278000; 57445725400; 30267694900","Motion-Aware Spatio-Temporal Networks for Dynamic Gesture Recognition on Point Clouds","2026","IEEE Transactions on Biometrics, Behavior, and Identity Science","","","","","","","0","10.1109/TBIOM.2026.3695284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105039639170&doi=10.1109%2fTBIOM.2026.3695284&partnerID=40&md5=66497a935882296b6d19325ba39e0487","Article","Article in press","","Scopus","2-s2.0-105039639170"
"Wu Q.; Lan J.; Kang W.; Wang Z.; Hu K.","Wu, Qiuxia (36976504900); Lan, Jiarui (60642999800); Kang, Wenxiong (30267694900); Wang, Zhiyong (36976302000); Hu, Kun (57209197449)","36976504900; 60642999800; 30267694900; 36976302000; 57209197449","SRENet: Spectral Re-Entry Network for Point Cloud Action Recognition","2026","IEEE Transactions on Circuits and Systems for Video Technology","","","","","","","0","10.1109/TCSVT.2026.3695515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105039674415&doi=10.1109%2fTCSVT.2026.3695515&partnerID=40&md5=365e43f131a347a81c3b000e997cda57","Article","Article in press","All Open Access; Green Open Access","Scopus","2-s2.0-105039674415"
"Wu Q.; Xie X.; Xu S.; Kang W.","Wu, Qiuxia (36976504900); Xie, Xinran (60585278000); Xu, Sangni (57445725400); Kang, Wenxiong (30267694900)","36976504900; 60585278000; 57445725400; 30267694900","MoTeNet: Motion-Temporal Network for Dynamic Hand Gesture Recognition on Point Clouds","2025","2025 IEEE International Joint Conference on Biometrics, IJCB 2025","","","","","","","0","10.1109/IJCB65343.2025.11411209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105035829250&doi=10.1109%2fIJCB65343.2025.11411209&partnerID=40&md5=9d4731d9403d876d36a8ec6cc835f125","Conference paper","Final","","Scopus","2-s2.0-105035829250"
"Xiao H.; Wu Q.; Li Y.; Kang W.","Xiao, Haihong (57222134186); Wu, Qiuxia (36976504900); Li, Yuqiong (56046343800); Kang, Wenxiong (30267694900)","57222134186; 36976504900; 56046343800; 30267694900","Key techniques for three-dimensional completion：a review; [三 维 补 全 关 键 技 术 研 究 综 述]","2023","Guangxue Jingmi Gongcheng/Optics and Precision Engineering","31","5","","667","696","29","0","10.37188/OPE.20233105.0667","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151703483&doi=10.37188%2fOPE.20233105.0667&partnerID=40&md5=afbf313c42e7b812a89128b56f4fb425","Article","Final","","Scopus","2-s2.0-85151703483"
"Wu Q.; Su K.","Wu, Qiuxia (36976504900); Su, Kunming (59162498200)","36976504900; 59162498200","URINet: Unsupervised point cloud rotation invariant representation learning via semantic and structural reasoning","2024","Computer Vision and Image Understanding","248","","104136","","","","0","10.1016/j.cviu.2024.104136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202970882&doi=10.1016%2fj.cviu.2024.104136&partnerID=40&md5=3fb5d205fda4c481ade1cce39975d956","Article","Final","","Scopus","2-s2.0-85202970882"
"Liu A.; Hu K.; Yue W.; Wu Q.; Wang Z.","Liu, Aoran (58576022600); Hu, Kun (57209197449); Yue, Wenxi (57222404023); Wu, Qiuxia (36976504900); Wang, Zhiyong (36976302000)","58576022600; 57209197449; 57222404023; 36976504900; 36976302000","Material-Aware Self-Supervised Network for Dynamic 3D Garment Simulation","2023","Proceedings - IEEE International Conference on Multimedia and Expo","2023-July","","","630","635","5","1","10.1109/ICME55011.2023.00114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171157703&doi=10.1109%2fICME55011.2023.00114&partnerID=40&md5=1a1ba3b08e2d5e32452c2e22e90c4784","Conference paper","Final","","Scopus","2-s2.0-85171157703"
"Xiao F.; Wu Q.","Xiao, Feng (57676914900); Wu, Qiuxia (36976504900)","57676914900; 36976504900","Visual saliency based global-local feature representation for skin cancer classification","2020","IET Image Processing","14","10","","2140","2148","8","13","10.1049/iet-ipr.2019.1018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093861734&doi=10.1049%2fiet-ipr.2019.1018&partnerID=40&md5=5f523379292756857eec3de2e2c5543a","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85093861734"
"Hong Z.; Wu Q.","Hong, Zhongcheng (57948554000); Wu, Qiuxia (36976504900)","57948554000; 36976504900","Self-supervised monocular depth estimation via two mechanisms of attention-aware cost volume","2023","Visual Computer","39","11","","5937","5951","14","3","10.1007/s00371-022-02704-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140986746&doi=10.1007%2fs00371-022-02704-x&partnerID=40&md5=e1194a253f1105e949b0cfa9e9d1a829","Article","Final","","Scopus","2-s2.0-85140986746"
